<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141230,000000,0.98971,0.99189,0.98673,0.98863,48919
20141231,000000,0.98872,0.99383,0.98791,0.99379,35717
20150102,000000,0.99740,1.00168,0.99606,1.00148,32100
20150105,000000,1.00583,1.01154,1.00323,1.00678,75121
20150106,000000,1.00675,1.01086,1.00406,1.01004,71166
20150107,000000,1.01003,1.01751,1.00939,1.01426,71175
20150108,000000,1.01418,1.02162,1.01361,1.01821,63299
20150109,000000,1.01819,1.02088,1.01377,1.01406,66610
20150112,000000,1.01325,1.01891,1.01170,1.01475,62359
20150113,000000,1.01472,1.02173,1.01257,1.02006,74176
20150114,000000,1.02003,1.02396,1.01374,1.01860,81698
20150115,000000,1.01860,1.02201,0.66683,0.83882,66775
20150116,000000,0.83883,0.88056,0.83860,0.85960,97168
20150119,000000,0.86122,0.87948,0.85399,0.87901,30542
20150120,000000,0.87897,0.88339,0.86828,0.87520,31567
20150121,000000,0.87479,0.87687,0.84972,0.85961,36135
20150122,000000,0.85923,0.87465,0.85216,0.87072,38156
20150123,000000,0.87055,0.88148,0.86771,0.87894,35612
20150126,000000,0.87924,0.90381,0.87603,0.90233,41877
20150127,000000,0.90242,0.91636,0.89322,0.90267,40953
20150128,000000,0.90255,0.90872,0.89819,0.90447,33431
20150129,000000,0.90457,0.92488,0.90407,0.92340,30153
20150130,000000,0.92342,0.92862,0.91669,0.92000,41841
20150202,000000,0.92637,0.93422,0.91986,0.92750,53479
20150203,000000,0.92778,0.92936,0.91835,0.92336,34558
20150204,000000,0.92336,0.92776,0.92032,0.92574,39030
20150205,000000,0.92581,0.93097,0.92024,0.92103,39466
20150206,000000,0.92094,0.92870,0.91729,0.92629,39277
20150209,000000,0.92625,0.92841,0.91926,0.92332,30306
20150210,000000,0.92319,0.92754,0.92117,0.92614,27667
20150211,000000,0.92598,0.92972,0.92261,0.92833,22982
20150212,000000,0.92838,0.93340,0.92546,0.93071,39170
20150213,000000,0.93054,0.93330,0.92678,0.93161,31297
20150216,000000,0.93068,0.93238,0.92809,0.93144,37350
20150217,000000,0.93130,0.93725,0.92886,0.93655,41598
20150218,000000,0.93644,0.94499,0.93130,0.94204,46824
20150219,000000,0.94208,0.94969,0.93828,0.94928,41829
20150220,000000,0.94931,0.95329,0.93695,0.93763,46442
20150223,000000,0.94035,0.95223,0.93838,0.94969,37038
20150224,000000,0.94945,0.95202,0.94660,0.95038,44313
20150225,000000,0.95037,0.95081,0.94624,0.94824,36205
20150226,000000,0.94823,0.95437,0.94475,0.95237,38680
20150227,000000,0.95246,0.95440,0.94482,0.95332,37380
20150302,000000,0.95286,0.95956,0.95278,0.95815,31235
20150303,000000,0.95803,0.96150,0.95551,0.96064,35459
20150304,000000,0.96068,0.96780,0.95896,0.96282,35781
20150305,000000,0.96273,0.97470,0.96256,0.97331,37298
20150306,000000,0.97306,0.98627,0.97196,0.98506,39656
20150309,000000,0.98653,0.98718,0.98228,0.98542,38341
20150310,000000,0.98544,0.99966,0.98529,0.99922,48999
20150311,000000,0.99915,1.01050,0.99672,1.00878,51377
20150312,000000,1.00878,1.01252,0.99790,1.00276,50103
20150313,000000,1.00268,1.01087,1.00238,1.00490,44826
20150316,000000,1.00480,1.00814,1.00207,1.00788,43856
20150317,000000,1.00786,1.00888,1.00072,1.00564,39616
20150318,000000,1.00573,1.00663,0.96231,0.98200,44855
20150319,000000,0.98203,0.99825,0.97699,0.98989,54846
20150320,000000,0.98991,0.99042,0.97291,0.97400,45307
20150323,000000,0.97423,0.98118,0.96410,0.96588,51371
20150324,000000,0.96587,0.96937,0.95357,0.95816,48717
20150325,000000,0.95817,0.96199,0.95525,0.95980,44961
20150326,000000,0.95981,0.96566,0.94910,0.96317,48889
20150327,000000,0.96316,0.96921,0.95575,0.96134,45382
20150330,000000,0.96120,0.96893,0.96039,0.96679,37330
20150331,000000,0.96688,0.97562,0.96563,0.97237,38115
20150401,000000,0.97233,0.97426,0.96443,0.96682,44548
20150402,000000,0.96680,0.96741,0.95618,0.95939,40422
20150403,000000,0.95939,0.96097,0.94805,0.94900,20119
20150406,000000,0.95134,0.96053,0.95000,0.95836,19972
20150407,000000,0.95830,0.96724,0.95568,0.96577,42415
20150408,000000,0.96577,0.96752,0.95970,0.96635,37820
20150409,000000,0.96639,0.97893,0.96559,0.97751,38323
20150410,000000,0.97751,0.98369,0.97500,0.97864,35323
20150413,000000,0.97981,0.98630,0.97596,0.97783,36659
20150414,000000,0.97738,0.97940,0.96729,0.97195,41105
20150415,000000,0.97163,0.97706,0.96355,0.96408,44007
20150416,000000,0.96409,0.97109,0.95401,0.95561,46404
20150417,000000,0.95553,0.95845,0.94943,0.95175,41276
20150420,000000,0.95093,0.95997,0.95002,0.95595,35654
20150421,000000,0.95565,0.96251,0.95059,0.95489,44838
20150422,000000,0.95466,0.97135,0.95009,0.97125,51033
20150423,000000,0.97111,0.97189,0.95305,0.95462,47263
