<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20030601,000000,363.25,370.30,342.40,345.75,44225
20030701,000000,345.85,368.00,340.10,354.25,59961
20030801,000000,355.32,378.00,344.95,375.55,48841
20030901,000000,375.00,394.00,369.55,385.35,47159
20031001,000000,385.50,392.70,366.00,384.50,60879
20031101,000000,384.60,401.10,375.65,398.05,73323
20031201,000000,397.50,417.90,396.55,415.75,26125
20040101,000000,415.35,430.70,396.30,402.40,11478
20040201,000000,402.30,417.50,390.60,396.24,16508
20040301,000000,396.25,427.60,387.90,427.18,61005
20040401,000000,427.21,432.60,377.38,387.59,60077
20040501,000000,387.59,396.98,371.45,395.38,53196
20040601,000000,395.41,405.35,381.35,392.10,43920
20040701,000000,392.80,409.47,385.18,391.33,24382
20040801,000000,391.27,414.44,388.73,410.21,34859
20040901,000000,410.20,419.36,394.87,418.76,54964
20041001,000000,418.75,430.55,409.55,428.60,25632
20041101,000000,429.10,455.55,417.05,450.85,27472
20041201,000000,451.10,457.05,431.51,438.32,121688
20050101,000000,438.45,461.35,416.57,422.60,126156
20050201,000000,422.58,438.43,410.25,435.61,97445
20050301,000000,435.62,447.50,423.28,428.73,107274
20050401,000000,428.71,438.45,421.83,434.95,109705
20050501,000000,434.96,435.87,414.15,417.10,98396
20050601,000000,416.31,444.00,414.38,435.55,84462
20050701,000000,435.50,437.00,417.85,429.60,65956
20050801,000000,429.55,450.04,428.80,435.05,125365
20050901,000000,434.85,475.20,434.60,468.95,140074
20051001,000000,468.86,480.11,459.75,465.65,156528
20051101,000000,465.90,502.45,454.75,492.85,142208
20051201,000000,492.95,541.00,489.45,516.97,57695
20060101,000000,516.85,572.70,516.54,568.20,115659
20060201,000000,570.60,575.10,534.65,561.40,116923
20060301,000000,561.35,589.40,533.50,583.50,63545
20060401,000000,583.30,655.80,533.50,654.54,150469
20060501,000000,654.20,730.25,635.35,644.79,144403
20060601,000000,644.70,645.50,542.55,615.29,105383
20060701,000000,613.95,676.05,601.90,636.04,102588
20060801,000000,636.15,655.92,607.11,626.79,110912
20060901,000000,626.45,640.10,572.03,598.55,92948
20061001,000000,598.54,603.27,559.22,599.10,84859
20061101,000000,627.67,648.55,612.97,647.50,62216
20061201,000000,647.80,649.65,611.35,635.19,92218
20070101,000000,636.45,654.70,602.20,652.35,12994
20070101,030000,636.45,654.70,602.20,652.35,12994
20070201,030000,652.45,688.95,643.10,673.85,25967
20070301,030000,673.80,677.40,632.35,663.45,23846
20070401,030000,665.45,693.55,656.25,678.65,4661
20070501,030000,678.35,690.70,651.95,660.80,18922
20070601,030000,660.65,673.85,638.85,649.35,21207
20070701,030000,650.85,687.75,645.00,663.75,10845
20070801,000000,664.60,674.50,664.30,672.30,3948
20070901,000000,672.50,745.50,671.10,742.60,110409
20071001,000000,743.70,797.00,720.30,796.40,167461
20071101,000000,796.30,845.40,772.40,781.80,237684
20071201,000000,782.90,843.10,776.60,832.70,149745
20080101,000000,835.50,936.75,834.80,925.65,401819
20080201,000000,925.80,975.95,884.00,973.05,466189
20080301,000000,973.10,1032.35,904.33,915.65,528336
20080401,000000,915.70,952.60,862.35,877.15,431329
20080501,000000,877.05,935.15,844.95,886.55,425752
20080601,000000,887.60,935.10,857.05,925.05,530908
20080701,000000,925.00,988.15,893.50,913.55,604044
20080801,000000,913.65,916.90,772.60,830.05,621429
20080901,000000,833.55,925.10,735.95,871.05,792020
20081001,000000,870.90,930.95,679.55,723.85,916077
20081101,000000,724.20,830.70,699.00,817.25,648883
20081201,000000,818.25,890.05,741.00,880.20,708041
20090101,000000,870.80,929.20,801.30,927.40,718486
20090201,000000,922.80,1006.00,888.80,940.90,709540
20090301,000000,948.05,966.80,883.45,918.80,720285
20090401,000000,918.80,933.15,864.50,887.90,524903
20090501,000000,887.95,980.05,878.85,978.60,464014
20090601,000000,977.95,990.05,912.80,926.10,498254
20090701,000000,926.15,958.70,904.90,951.00,392084
20090801,000000,953.75,971.55,930.15,950.95,403917
20090901,000000,950.85,1023.90,946.30,1007.37,429236
20091001,000000,1007.37,1070.45,986.40,1045.20,450804
20091101,000000,1041.80,1194.95,1040.75,1179.25,480420
20091201,000000,1179.30,1226.15,1074.40,1096.55,695870
20100101,000000,1096.70,1161.85,1073.80,1081.30,590240
20100201,000000,1082.40,1130.85,1044.05,1116.60,652922
20100301,000000,1117.25,1144.85,1084.95,1112.85,621876
20100401,000000,1112.95,1181.63,1111.30,1178.25,527362
20100501,000000,1176.85,1249.28,1156.35,1216.00,678176
20100601,000000,1216.05,1265.05,1196.75,1242.08,613965
20100701,000000,1242.13,1243.74,1156.85,1180.70,543047
20100801,000000,1180.25,1249.75,1174.38,1247.20,461903
20100901,000000,1247.23,1315.80,1236.43,1308.15,430520
20101001,000000,1308.12,1387.10,1305.93,1357.52,642706
20101101,000000,1358.03,1424.43,1325.43,1385.73,850447
20101201,000000,1385.86,1430.90,1361.03,1418.52,661414
20110101,000000,1420.98,1423.83,1307.95,1332.45,633094
20110201,000000,1332.40,1418.09,1324.93,1411.03,548300
20110301,000000,1411.13,1447.53,1380.90,1431.70,648252
20110401,000000,1431.73,1569.03,1412.70,1562.25,561958
20110501,000000,1570.95,1577.00,1462.00,1535.30,637251
20110601,000000,1535.55,1557.91,1490.70,1500.08,549385
20110701,000000,1501.40,1632.70,1477.99,1624.55,571231
20110801,000000,1610.30,1911.80,1607.05,1825.70,1160413
20110901,000000,1825.70,1920.70,1532.40,1622.65,1291399
20111001,000000,1626.05,1752.40,1595.65,1714.60,984910
20111101,000000,1714.24,1802.84,1666.40,1746.05,908903
20111201,000000,1746.15,1762.85,1522.45,1564.35,934741
20120101,000000,1569.05,1747.42,1566.65,1738.05,1005758
20120201,000000,1736.20,1790.55,1687.90,1696.60,1242155
20120301,000000,1696.10,1725.80,1627.90,1668.01,1170588
20120401,000000,1669.53,1683.50,1612.10,1664.63,861564
20120501,000000,1663.65,1671.53,1526.91,1560.21,930969
20120601,000000,1559.96,1640.91,1544.96,1597.00,936657
20120701,000000,1599.00,1629.53,1554.80,1614.28,933863
20120801,000000,1614.25,1692.97,1584.94,1691.82,1073084
20120901,000000,1690.67,1787.42,1685.46,1771.77,1155671
20121001,000000,1770.99,1795.90,1698.59,1720.52,1430085
20121101,000000,1720.18,1754.34,1672.42,1714.63,1008730
20121201,000000,1713.82,1723.16,1635.61,1662.61,1005891
20130101,000000,1674.40,1696.98,1625.69,1662.82,1320441
20130201,000000,1664.00,1685.38,1555.06,1578.81,1089071
20130301,000000,1579.40,1616.57,1561.51,1594.87,872833
20130401,000000,1597.45,1603.85,1321.55,1475.63,1368594
20130501,000000,1476.40,1487.96,1337.99,1387.56,1530533
20130601,000000,1388.35,1423.73,1180.18,1234.95,1364165
20130701,000000,1233.64,1347.52,1208.13,1324.53,1294189
20130801,000000,1323.47,1433.70,1272.82,1394.90,1152849
20130901,000000,1393.47,1416.30,1291.76,1328.07,945338
20131001,000000,1327.58,1361.73,1251.49,1322.80,991600
20131101,000000,1322.17,1327.44,1226.49,1252.09,653511
20131201,000000,1250.87,1267.84,1182.35,1205.74,635980
20140101,000000,1204.01,1279.03,1203.64,1243.92,629121
20140201,000000,1242.68,1345.34,1240.84,1326.27,526495
20140301,000000,1332.27,1391.99,1282.42,1283.78,602937
20140401,000000,1283.73,1331.08,1268.48,1291.20,476993
20140501,000000,1291.10,1315.56,1242.20,1249.34,533410
20140601,000000,1249.88,1329.46,1240.58,1327.03,634517
20140701,000000,1327.09,1345.03,1280.94,1282.45,715888
20140801,000000,1282.85,1322.63,1272.53,1286.75,616272
20140901,000000,1287.54,1289.87,1204.54,1207.84,738796
20141001,000000,1207.27,1255.25,1161.24,1172.59,966655
20141101,000000,1167.22,1207.75,1131.91,1166.90,2571800
20141201,000000,1159.64,1238.22,1142.74,1200.38,1891179
20150101,000000,1185.92,1307.44,1167.52,1282.91,1791343
20150201,000000,1282.40,1285.67,1190.31,1212.97,1006024
20150301,000000,1213.69,1223.18,1142.72,1183.34,1153573
20150401,000000,1183.34,1224.15,1175.12,1184.18,879199
20150501,000000,1184.58,1232.37,1169.74,1190.03,1314408
20150601,000000,1188.60,1205.60,1162.78,1172.06,957122
20150701,000000,1172.12,1175.03,1070.03,1095.47,1303662
20150801,000000,1095.70,1170.03,1080.95,1134.63,1234209
20150901,000000,1134.63,1156.60,1098.06,1114.65,836704
20151001,000000,1115.04,1191.41,1104.50,1141.74,773061
20151101,000000,1141.01,1142.84,1052.58,1063.95,798219
20151201,000000,1064.61,1088.72,1046.18,1061.92,1089155
20160101,000000,1061.86,1128.02,1061.72,1117.80,1062998
20160201,000000,1116.83,1263.26,1115.40,1238.39,1266582
20160301,000000,1237.90,1283.71,1208.12,1232.55,1460319
20160401,000000,1231.89,1296.57,1208.88,1292.87,1076133
20160501,000000,1289.96,1303.61,1199.63,1215.02,1150065
20160601,000000,1215.20,1358.06,1205.85,1321.33,1353806
20160701,000000,1322.16,1375.00,1310.67,1350.52,2010475
20160801,000000,1349.79,1367.20,1304.11,1308.38,2415815
20160901,000000,1308.35,1352.54,1302.36,1315.55,2429097
20161001,000000,1318.42,1319.57,1241.33,1276.66,2197064
20161101,000000,1276.98,1337.14,1170.63,1172.47,3704376
20161201,000000,1173.38,1187.98,1122.61,1151.32,2685416
20170101,000000,1150.79,1219.91,1145.98,1210.50,4060065
20170201,000000,1210.77,1263.78,1198.11,1248.14,3708821
20170301,000000,1247.74,1260.94,1194.90,1248.57,2602274
20170401,000000,1249.29,1295.44,1243.67,1267.57,1730621
20170501,000000,1267.68,1274.01,1214.19,1268.06,1850026
20170601,000000,1268.39,1295.99,1235.99,1241.28,2045189
20170701,000000,1241.47,1270.99,1204.77,1268.64,2483734
20170801,000000,1269.30,1325.94,1251.42,1320.71,2447615
20170901,000000,1321.54,1357.43,1275.82,1279.73,2297763
20171001,000000,1279.12,1305.96,1260.60,1270.51,2113426
20171101,000000,1270.21,1299.15,1265.38,1274.48,2134419
20171201,000000,1274.37,1307.49,1236.40,1302.62,2045020
20180101,000000,1302.88,1366.00,1302.21,1344.74,3787965
20180201,000000,1344.70,1361.67,1307.01,1317.80,4435840
20180301,000000,1317.92,1356.77,1302.74,1324.63,4261984
20180401,000000,1325.42,1365.20,1310.14,1314.91,4033372
20180501,000000,1314.63,1325.86,1282.00,1298.10,4105083
20180601,000000,1298.55,1309.20,1245.88,1252.50,3472082
20180701,000000,1251.54,1265.85,1211.41,1223.75,3485941
20180801,000000,1223.35,1224.75,1160.09,1200.90,3870002
20180901,000000,1200.60,1212.57,1180.66,1191.87,3076265
20181001,000000,1192.23,1243.35,1182.83,1214.54,3802402
20181101,000000,1215.21,1237.28,1196.23,1222.03,3175830
20181201,000000,1221.21,1284.01,1220.47,1281.75,3267308
20190101,000000,1281.98,1326.24,1276.60,1321.31,3681680
20190201,000000,1321.19,1346.71,1302.39,1312.91,2971343
20190301,000000,1313.93,1324.52,1280.82,1291.99,3433066
20190401,000000,1292.40,1310.57,1266.28,1283.05,2777201
20190501,000000,1283.21,1306.88,1266.25,1305.39,3224682
20190601,000000,1307.45,1439.37,1305.89,1409.33,3835771
20190701,000000,1398.51,1452.91,1381.76,1413.53,4520100
