<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20121118,000000,1714.55,1754.29,1714.14,1751.68,188019
20121125,000000,1750.74,1752.15,1705.80,1714.61,221282
20121202,000000,1714.28,1722.55,1684.25,1703.78,218888
20121209,000000,1703.85,1723.25,1689.40,1695.46,200000
20121216,000000,1697.27,1703.09,1635.37,1656.85,199932
20121223,000000,1656.93,1667.92,1651.83,1655.55,96377
20121230,000000,1655.65,1694.87,1625.76,1655.46,164150
20130106,000000,1656.11,1678.77,1642.76,1662.51,216975
20130113,000000,1662.34,1696.61,1659.95,1684.03,276617
20130120,000000,1685.98,1696.05,1655.85,1658.52,268988
20130127,000000,1658.83,1683.85,1651.95,1667.18,295282
20130203,000000,1668.45,1685.27,1661.52,1666.88,299227
20130210,000000,1667.43,1669.55,1597.91,1609.81,305683
20130217,000000,1609.53,1618.75,1554.95,1581.13,345091
20130224,000000,1580.17,1620.05,1564.73,1576.03,357717
20130303,000000,1578.64,1586.40,1561.39,1578.62,289075
20130310,000000,1578.24,1599.23,1575.45,1591.12,218298
20130317,000000,1597.21,1616.85,1590.82,1607.27,204498
20130324,000000,1609.15,1613.59,1589.76,1596.72,156337
20130331,000000,1597.41,1603.84,1540.08,1580.16,221588
20130407,000000,1580.96,1590.34,1480.45,1482.25,215542
20130414,000000,1481.14,1495.47,1321.55,1403.58,392963
20130421,000000,1407.47,1485.28,1403.55,1461.37,335906
20130428,000000,1466.33,1487.80,1440.35,1469.69,290985
20130505,000000,1470.15,1478.82,1419.65,1447.00,306036
20130512,000000,1444.98,1446.52,1355.15,1358.29,354131
20130519,000000,1364.37,1414.23,1337.95,1386.49,357695
20130526,000000,1386.83,1421.86,1373.66,1387.64,268668
20130602,000000,1388.44,1423.78,1377.80,1382.91,319325
20130609,000000,1382.88,1394.87,1366.23,1390.41,300389
20130616,000000,1390.50,1391.90,1269.47,1296.25,322599
20130623,000000,1297.14,1301.47,1180.32,1234.17,393670
20130630,000000,1234.35,1267.36,1208.15,1222.90,286156
20130707,000000,1222.22,1298.66,1215.63,1285.22,319142
20130714,000000,1284.75,1300.57,1270.16,1295.59,283159
20130721,000000,1297.08,1347.38,1295.88,1333.08,298179
20130728,000000,1333.18,1339.11,1283.09,1311.52,293924
20130804,000000,1312.19,1320.72,1272.74,1314.12,275342
20130811,000000,1315.00,1379.58,1314.70,1376.53,340360
20130818,000000,1378.67,1399.97,1352.32,1397.41,309609
20130825,000000,1398.48,1433.67,1389.50,1394.91,316388
20130901,000000,1393.21,1416.29,1358.42,1391.63,260602
20130908,000000,1390.17,1394.53,1304.84,1326.08,247675
20130915,000000,1334.15,1375.17,1291.73,1324.81,301349
20130922,000000,1326.26,1344.09,1305.84,1335.46,306536
20130929,000000,1342.19,1352.41,1277.86,1310.17,288913
20131006,000000,1311.37,1329.95,1262.12,1271.37,387870
20131013,000000,1276.82,1327.11,1251.59,1315.37,429132
20131020,000000,1316.34,1355.73,1310.11,1349.84,282780
20131027,000000,1353.64,1361.69,1306.07,1315.77,308639
20131103,000000,1313.64,1326.17,1281.09,1287.52,262961
20131110,000000,1287.71,1294.22,1261.35,1289.88,294388
20131117,000000,1289.22,1289.56,1236.77,1243.19,293574
20131124,000000,1242.27,1257.89,1227.57,1251.48,226675
20131201,000000,1250.65,1251.54,1211.74,1228.58,311058
20131208,000000,1230.53,1267.79,1220.56,1238.19,307514
20131215,000000,1237.71,1251.94,1187.13,1202.22,334153
20131222,000000,1202.80,1219.04,1192.67,1212.12,132718
20131229,000000,1213.62,1240.16,1182.44,1236.21,204685
20140105,000000,1236.96,1248.86,1214.63,1247.57,306355
20140112,000000,1248.02,1255.21,1234.24,1253.17,268798
20140119,000000,1252.22,1272.50,1231.50,1269.22,260112
20140126,000000,1269.21,1278.98,1238.01,1243.73,294190
20140202,000000,1242.78,1274.28,1240.78,1266.21,283634
20140209,000000,1265.56,1321.18,1265.10,1317.71,311518
20140216,000000,1318.74,1332.01,1307.30,1323.47,309271
20140223,000000,1325.25,1345.34,1318.78,1325.50,303492
20140302,000000,1332.29,1354.68,1327.91,1339.42,329629
20140309,000000,1339.55,1387.95,1328.09,1381.91,344040
20140316,000000,1382.21,1392.09,1320.53,1333.69,351334
20140323,000000,1332.02,1334.84,1285.71,1294.18,332632
20140330,000000,1293.44,1306.70,1277.65,1302.66,434148
20140406,000000,1303.65,1324.46,1295.59,1317.39,315351
20140413,000000,1320.24,1331.08,1284.65,1294.93,262921
20140420,000000,1294.40,1305.04,1268.45,1302.12,302433
20140427,000000,1302.92,1306.44,1273.24,1298.89,295493
20140504,000000,1300.15,1315.58,1284.95,1287.82,326041
20140511,000000,1289.54,1308.96,1277.62,1292.48,342330
20140518,000000,1292.64,1305.38,1283.28,1292.35,321225
20140525,000000,1292.44,1294.11,1242.19,1249.48,285442
20140601,000000,1249.43,1257.75,1240.60,1253.17,280993
20140608,000000,1252.69,1277.86,1250.24,1276.69,438286
20140615,000000,1275.96,1321.87,1258.61,1314.66,618548
20140622,000000,1314.31,1325.85,1305.90,1316.03,295365
20140629,000000,1316.07,1333.48,1309.15,1320.28,235326
20140706,000000,1320.43,1345.28,1311.39,1338.56,263424
20140713,000000,1338.03,1339.49,1292.15,1310.80,326380
20140720,000000,1310.09,1318.36,1287.63,1307.04,248227
20140727,000000,1307.06,1312.14,1279.96,1293.72,279251
20140803,000000,1293.76,1322.65,1282.49,1309.40,285653
20140810,000000,1308.77,1319.35,1292.45,1304.65,255702
20140817,000000,1302.78,1303.62,1272.88,1280.99,235156
20140824,000000,1277.95,1296.47,1274.42,1287.15,220534
20140831,000000,1287.21,1289.83,1257.21,1268.54,237854
20140907,000000,1268.55,1271.73,1227.53,1229.46,306417
20140914,000000,1227.56,1241.95,1213.74,1215.44,311781
20140921,000000,1215.33,1234.73,1206.84,1218.10,313945
20140928,000000,1218.66,1223.27,1189.98,1190.91,330132
