<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140130,000000,1266.29,1267.69,1238.01,1243.52,60002
20140131,000000,1243.68,1254.87,1238.47,1243.73,56124
20140203,000000,1242.78,1266.25,1240.78,1257.28,58592
20140204,000000,1257.56,1260.93,1247.24,1254.48,57302
20140205,000000,1253.31,1274.29,1252.39,1257.61,58147
20140206,000000,1256.51,1266.79,1252.79,1257.95,52078
20140207,000000,1257.08,1271.81,1256.18,1266.22,57515
20140210,000000,1265.56,1277.86,1265.10,1274.65,50354
20140211,000000,1273.58,1293.84,1273.55,1291.19,63688
20140212,000000,1290.25,1296.27,1283.95,1290.88,63059
20140213,000000,1289.71,1302.85,1286.20,1302.51,63539
20140214,000000,1301.08,1321.19,1299.78,1317.71,70878
20140217,000000,1318.74,1329.73,1318.74,1328.59,48551
20140218,000000,1327.68,1332.01,1312.63,1321.73,71909
20140219,000000,1321.57,1322.84,1308.89,1311.37,65821
20140220,000000,1310.58,1324.95,1307.30,1322.82,65932
20140221,000000,1322.78,1328.45,1316.05,1323.47,57058
20140224,000000,1325.25,1338.86,1318.78,1336.72,59505
20140225,000000,1335.78,1343.55,1331.23,1340.41,57574
20140226,000000,1340.84,1345.34,1322.38,1330.47,62442
20140227,000000,1328.68,1336.15,1323.79,1331.17,62265
20140228,000000,1330.71,1333.27,1319.79,1325.49,61706
20140303,000000,1332.29,1354.68,1330.67,1350.34,73194
20140304,000000,1349.06,1352.50,1331.23,1334.25,70106
20140305,000000,1334.19,1341.77,1332.61,1336.62,60279
20140306,000000,1337.12,1353.53,1331.13,1350.66,58149
20140307,000000,1349.51,1352.90,1327.91,1339.42,67901
20140310,000000,1339.55,1344.55,1328.09,1339.48,65194
20140311,000000,1338.86,1352.52,1337.61,1348.77,58110
20140312,000000,1347.74,1370.83,1345.40,1366.70,74788
20140313,000000,1367.33,1374.98,1364.48,1370.14,76449
20140314,000000,1370.46,1387.94,1367.84,1381.90,69499
20140317,000000,1382.21,1392.09,1361.85,1366.92,70449
20140318,000000,1366.72,1367.53,1350.71,1355.47,69388
20140319,000000,1355.56,1359.65,1327.76,1329.45,77156
20140320,000000,1330.24,1334.61,1320.54,1327.61,77907
20140321,000000,1328.71,1342.36,1327.98,1333.69,56434
20140324,000000,1332.02,1334.84,1307.88,1308.62,66409
20140325,000000,1308.95,1317.33,1305.68,1310.90,68248
20140326,000000,1310.71,1316.27,1298.63,1304.31,68653
20140327,000000,1304.61,1306.77,1289.03,1291.16,66832
20140328,000000,1291.56,1298.66,1285.71,1294.19,62490
